line_1,suburb,postal_code,state,country,location
3 PERCEPTION ROAD,NAMBOUR,4560,QLD,AUSTRALIA,"{'longitude': 152.94135147, 'latitude': -26.6116018}"
18 FLORES AVENUE,PALM BEACH,4221,QLD,AUSTRALIA,"{'longitude': 153.47028549, 'latitude': -28.13033916}"
"UNIT 2, 3 HAKEA AVENUE",MALENY,4552,QLD,AUSTRALIA,"{'longitude': 152.84434225, 'latitude': -26.75814024}"
22 JACOB COURT,UPPER COOMERA,4209,QLD,AUSTRALIA,"{'longitude': 153.29604006, 'latitude': -27.86520133}"
"UNIT 27, 21 LEVIATHAN DRIVE",MUDGEERABA,4213,QLD,AUSTRALIA,"{'longitude': 153.38042856, 'latitude': -28.08694968}"
2 OSCAR CLOSE,ORMEAU,4208,QLD,AUSTRALIA,"{'longitude': 153.26233396, 'latitude': -27.79233723}"
"UNIT 76, 17 CARREE STREET",CALOUNDRA WEST,4551,QLD,AUSTRALIA,"{'longitude': 153.08770909, 'latitude': -26.79608212}"
53 MONTEVIDEO DRIVE,CLEAR ISLAND WATERS,4226,QLD,AUSTRALIA,"{'longitude': 153.39237855, 'latitude': -28.04222093}"
"UNIT 11, 148 HIGH STREET",SOUTHPORT,4215,QLD,AUSTRALIA,"{'longitude': 153.40708061, 'latitude': -27.96128819}"
14 TANDANUS COURT,OXENFORD,4210,QLD,AUSTRALIA,"{'longitude': 153.29576057, 'latitude': -27.89303897}"
"UNIT 401, 1 HART STREET",ASHMORE,4214,QLD,AUSTRALIA,"{'longitude': 153.3703394, 'latitude': -27.99197337}"
25 GEMINI CIRCUIT,MOLENDINAR,4214,QLD,AUSTRALIA,"{'longitude': 153.36584293, 'latitude': -27.97224636}"
1 CARLYLE COURT,BUDERIM,4556,QLD,AUSTRALIA,"{'longitude': 153.08714665, 'latitude': -26.69180565}"
34 ANDRIANA DRIVE,BUDERIM,4556,QLD,AUSTRALIA,"{'longitude': 153.05629275, 'latitude': -26.69112416}"
14 DYER STREET,LANDSBOROUGH,4550,QLD,AUSTRALIA,"{'longitude': 152.96914812, 'latitude': -26.80869578}"
21 SKIFF STREET,SOUTHPORT,4215,QLD,AUSTRALIA,"{'longitude': 153.4132897, 'latitude': -27.99073745}"
2 CROWN STREET,CURRIMUNDI,4551,QLD,AUSTRALIA,"{'longitude': 153.12726278, 'latitude': -26.76718058}"
264 RON PENHALIGON WAY,ROBINA,4226,QLD,AUSTRALIA,"{'longitude': 153.40393203, 'latitude': -28.07008129}"
38 SOVEREIGN LANE,COOMERA,4209,QLD,AUSTRALIA,"{'longitude': 153.36928706, 'latitude': -27.84605783}"
5 JACARANDA DRIVE,PARKLANDS,4560,QLD,AUSTRALIA,"{'longitude': 152.96893476, 'latitude': -26.60067508}"
144 NOBBY PARADE,MIAMI,4220,QLD,AUSTRALIA,"{'longitude': 153.43782606, 'latitude': -28.06762198}"
18 LORIKEET PLACE,BURNSIDE,4560,QLD,AUSTRALIA,"{'longitude': 152.93567277, 'latitude': -26.62845755}"
"UNIT 10, 14 BOLTON STREET",COOLANGATTA,4225,QLD,AUSTRALIA,"{'longitude': 153.52252638, 'latitude': -28.16937554}"
54 RUMRUNNER STREET,MERMAID WATERS,4218,QLD,AUSTRALIA,"{'longitude': 153.42316304, 'latitude': -28.05078153}"
"UNIT 40, 55 CARTER ROAD",NAMBOUR,4560,QLD,AUSTRALIA,"{'longitude': 152.95003999, 'latitude': -26.62750004}"
89 FOLEY ROAD,WOOMBYE,4559,QLD,AUSTRALIA,"{'longitude': 152.96666579, 'latitude': -26.65176731}"
"UNIT 4, 114 THE ESPLANADE",BURLEIGH HEADS,4220,QLD,AUSTRALIA,"{'longitude': 153.44878743, 'latitude': -28.08273759}"
147 VARSITY PARADE,VARSITY LAKES,4227,QLD,AUSTRALIA,"{'longitude': 153.40987308, 'latitude': -28.08123647}"
24 ROBUR CRESCENT,MOUNTAIN CREEK,4557,QLD,AUSTRALIA,"{'longitude': 153.10324274, 'latitude': -26.71457603}"
"UNIT 2, 29 BROADMEADOWS ROAD",MAROOCHYDORE,4558,QLD,AUSTRALIA,"{'longitude': 153.08238144, 'latitude': -26.65112279}"
26 MARTINIQUE WAY,CLEAR ISLAND WATERS,4226,QLD,AUSTRALIA,"{'longitude': 153.39682309, 'latitude': -28.0407967}"
2 WARLOO STREET,WURTULLA,4575,QLD,AUSTRALIA,"{'longitude': 153.11855809, 'latitude': -26.76179509}"
15 ROCK FIG COURT,PALMWOODS,4555,QLD,AUSTRALIA,"{'longitude': 152.95146962, 'latitude': -26.69788046}"
